datatype,file,tile_path,label_path,cluster_exist
train,LS-469.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-469_1_3.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-469_1_3.txt,True
train,LS-226.jpeg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-226_0_2.jpeg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-226_0_2.txt,True
train,LS-443.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-443_2_1.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-443_2_1.txt,True
train,LS-366.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-366_1_0.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-366_1_0.txt,True
train,LS-506.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-506_4_3.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-506_4_3.txt,True
train,LS-342.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-342_1_7.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-342_1_7.txt,False
train,LS-267.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-267_0_1.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-267_0_1.txt,True
train,LS-057.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-057_4_4.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-057_4_4.txt,True
train,LS-272.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-272_3_6.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-272_3_6.txt,True
train,LS-064.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-064_4_4.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-064_4_4.txt,True
train,LS-114.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-114_0_0.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-114_0_0.txt,True
train,LS-136.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-136_6_5.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-136_6_5.txt,True
train,LS-082.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-082_1_1.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-082_1_1.txt,True
train,LS-260.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/augmented_LS-260_3_3.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/augmented_LS-260_3_3.txt,True
train,LS-275.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-275_3_3.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-275_3_3.txt,True
train,LS-112.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-112_5_0.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-112_5_0.txt,True
train,LS-440.jpg,/workspace/Special_Problem/yolo_dataset_version_2/images/train/original_LS-440_5_8.jpg,/workspace/Special_Problem/yolo_dataset_version_2/labels/train/original_LS-440_5_8.txt,True
